,trial,ra,dec,elon,elat,r2,p,s,r1,teff1,vmag,icmag,tmag,jmag,kmag,npt_pri,snrf,dm,mult,hostID,ffiClass
1406,17.0,6.42007446289,-40.5750465393,346.528747559,-39.0909996033,8.07215726753,16.298784256,44.9926185608,0.922690272331,5508.07617188,14.0579385757,13.273399353,13.3330001831,12.7139997482,12.3030004501,4.0,13.6281871796,8.75,0.0,137.0,3.0
1407,17.0,10.3504257202,-41.5133323669,349.223022461,-41.4233207703,2.05490851903,12.9037084579,1.48802495003,0.243794545531,3330.90576172,14.7487630844,12.3777494431,12.2770757675,11.0532999039,10.2894172668,2.0,9.4066734314,2.70000004768,2.0,1165.0,2.0
1482,17.0,2.23508620262,-37.6791000366,344.803375244,-34.9651527405,7.34884157826,5.78909111023,111.557502747,0.782531380653,5199.9609375,12.5046510696,11.6229200363,11.6879997253,10.9829998016,10.486000061,2.0,14.5563926697,6.5,1.0,1716.0,3.0
1483,17.0,2.68994379044,-41.805644989,342.61932373,-38.7199554443,5.7437313942,20.5907611847,57.0136947632,1.11262047291,5888.43652344,11.2657718658,10.5871200562,10.638999939,10.123000145,9.80599975586,2.0,12.9841899872,6.75,0.0,622.0,3.0
1484,17.0,4.25195980072,-40.5478820801,344.728424072,-38.2321891785,3.25213983704,3.75682473183,3.42535495758,0.162263065577,3145.55419922,18.1867656708,15.6210250854,15.5413484573,14.1699132919,13.4334974289,2.0,8.08711051941,5.34999990463,3.0,1339.0,2.0
1536,17.0,359.923065186,-36.4691734314,343.551269531,-33.0187110901,6.97605986242,3.09216380119,1624.76831055,1.31445395947,6745.28027344,10.3969945908,9.94323921204,9.97900009155,9.60799980164,9.40299987793,2.0,41.0714225769,6.84999990463,0.0,595.0,3.0
1580,17.0,21.7409992218,-11.4682731628,15.5886716843,-19.0757656097,6.74289284577,5.60514783859,895.613220215,1.44673287868,6792.03662109,11.5001001358,11.060839653,11.095000267,10.7329998016,10.5360002518,2.0,18.9188518524,8.19999980927,0.0,133.0,3.0
1581,17.0,22.563117981,-11.0401964188,16.5506668091,-18.9957752228,3.32416976714,11.1322050095,96.3214263916,0.905273139477,5915.6171875,10.7771272659,10.1237201691,10.1759996414,9.64999961853,9.31299972534,2.0,9.36205673218,5.80000019073,0.0,482.0,3.0
1679,17.0,28.6275806427,-17.2147636414,19.8187007904,-26.9733371735,3.75778726104,18.3501529694,15.8442869186,0.702937960625,4841.52490234,13.1698579788,12.0799674988,12.0318536758,11.3651075363,10.7552251816,2.0,7.33410930634,6.44999980927,0.0,194.0,3.0
1680,17.0,30.7133312225,-20.0977687836,20.5939712524,-30.4016704559,3.17343119674,7.89460372925,3.84237098694,0.298658519983,3402.45654297,15.8812952042,13.5988035202,13.4987306595,12.3137741089,11.5437746048,2.0,14.3514986038,4.5,2.0,16.0,2.0
1725,17.0,30.1154518127,-21.8300762177,19.1863460541,-31.7652931213,5.63635650287,4.92854213715,135.966629028,0.783854424953,5074.07568359,14.1477155685,13.1805295944,13.1353883743,12.5387992859,11.999461174,2.0,7.5744304657,8.0,1.0,442.0,3.0
1771,17.0,34.030506134,-28.4410991669,19.7781772614,-39.2494430542,10.8593877815,3.31003379822,1441.61474609,1.45536422729,6426.87841797,11.3762531281,10.84719944,10.888999939,10.470000267,10.2279996872,2.0,72.3470916748,7.84999990463,0.0,579.0,3.0
1882,17.0,31.357465744,-35.5964012146,12.7159442902,-44.6162338257,3.56421963339,2.63655519485,39.3944816589,0.457848757505,3652.72436523,16.0347957611,14.0021305084,13.90883255,12.8466835022,12.0356636047,4.0,8.76144981384,6.15000009537,2.0,517.0,3.0
1883,17.0,28.5892181396,-36.9073181152,9.07811832428,-44.6820068359,1.38220691093,5.60658168793,6.2356171608,0.295953333378,3423.47216797,13.0900039673,10.8481216431,10.7482252121,9.58943748474,8.82682323456,2.0,8.39912128448,1.75,2.0,1412.0,2.0
2052,17.0,17.6625881195,-46.2359428406,351.82144165,-48.2519798279,3.2580489112,1.71021234989,45.4478187561,0.373788148165,3499.26074219,15.7998886108,13.6138458252,13.5227909088,12.3791666031,11.5922346115,2.0,12.6964006424,5.09999990463,3.0,407.0,2.0
2053,17.0,17.6392745972,-42.8140525818,354.574676514,-45.3946800232,2.00810636045,5.76078605652,9.03549098969,0.371913224459,3516.02368164,14.3956947327,12.2428741455,12.1544265747,11.0256090164,10.2435722351,2.0,10.6853580475,3.75,3.0,1036.0,2.0
2123,17.0,9.5462884903,-43.9771232605,346.779998779,-43.1998748779,18.7728013701,3.70698285103,142.866928101,0.724352777004,4842.99316406,14.931640625,13.8522462845,13.804189682,13.1389942169,12.5286064148,4.0,88.9275512695,8.30000019073,0.0,602.0,3.0
2124,17.0,10.5321731567,-43.4994850159,347.955963135,-43.1796760559,5.04542593088,8.94869327545,464.418579102,1.55925607681,6606.93359375,10.3290243149,9.84412002563,9.88199996948,9.50199985504,9.29199981689,4.0,15.0950651169,7.09999990463,0.0,755.0,3.0
2125,17.0,10.7781553268,-43.5358772278,348.135772705,-43.3061103821,2.94821078898,19.9840564728,8.84702968597,0.636562108994,4434.63916016,13.0633277893,11.7378940582,11.6738767624,10.8858289719,10.1466789246,4.0,8.83241558075,5.5,1.0,999.0,2.0
